id|wallet_id|value|created_at|status
wa0817387533-lbp-1731300608-Lm07CH|wa0817387533-lbp|57.96|2024-11-11 04:50:08|Successful
wa0817387533-lbp-1734856525-zBjsn2|wa0817387533-lbp|189.27|2024-12-22 08:35:25|Successful
wa0817387533-lbp-1732630556-VyIbii|wa0817387533-lbp|23.17|2024-11-26 14:15:56|Successful
wa0817387533-lbp-1735344105-t17Uc6|wa0817387533-lbp|113.88|2024-12-28 00:01:45|Successful
wa0817387533-lbp-1735379878-vZMDOj|wa0817387533-lbp|156.57|2024-12-28 09:57:58|Successful
wa0817387533-lbp-1730812196-63vl7w|wa0817387533-lbp|146.57|2024-11-05 13:09:56|Successful
wa0817387533-lbp-1734219251-984pgb|wa0817387533-lbp|48.18|2024-12-14 23:34:11|Successful
wa0817387533-lbp-1734449112-cMigvp|wa0817387533-lbp|21.25|2024-12-17 15:25:12|Successful
wa0817387533-lbp-1732156572-0oJ88F|wa0817387533-lbp|12.46|2024-11-21 02:36:12|Successful
wa0817387533-lbp-1734017435-Ji9XIn|wa0817387533-lbp|147.61|2024-12-12 15:30:35|Cancelled
wa0817387533-lbp-1731112702-EsUktP|wa0817387533-lbp|77.87|2024-11-09 00:38:22|Successful
wa0817387533-lbp-1734320626-3HVZAm|wa0817387533-lbp|143.13|2024-12-16 03:43:46|Successful
wa0817387533-lbp-1731850672-eMFADq|wa0817387533-lbp|184.05|2024-11-17 13:37:52|Cancelled
wa0817387533-lbp-1731044312-SX9M5j|wa0817387533-lbp|157.06|2024-11-08 05:38:32|Successful
wa0817387533-lbp-1732225354-EUgZvx|wa0817387533-lbp|198.08|2024-11-21 21:42:34|Successful
wa0817387533-lbp-1733074641-DFG6KQ|wa0817387533-lbp|72.16|2024-12-01 17:37:21|Successful
wa0817387533-lbp-1731342250-vutvoo|wa0817387533-lbp|67.44|2024-11-11 16:24:10|Successful
wa0817387533-lbp-1732454704-3wbgxF|wa0817387533-lbp|25.88|2024-11-24 13:25:04|Successful
wa0817387533-lbp-1732081124-6OCATA|wa0817387533-lbp|34.22|2024-11-20 05:38:44|Successful
wa0817387533-lbp-1733063345-pWfkZy|wa0817387533-lbp|133.31|2024-12-01 14:29:05|Successful
wa0817387533-lbp-1732707894-gDwOjy|wa0817387533-lbp|55.65|2024-11-27 11:44:54|Successful
wa0817387533-lbp-1733964695-SAEeVe|wa0817387533-lbp|75.57|2024-12-12 00:51:35|Successful
wa0817387533-lbp-1732188849-e9onk1|wa0817387533-lbp|42.94|2024-11-21 11:34:09|Successful
wa0817387533-lbp-1736018185-25dMRv|wa0817387533-lbp|164.16|2025-01-04 19:16:25|Successful
wa0817387533-lbp-1729764183-4NvRfR|wa0817387533-lbp|23.25|2024-10-24 10:03:03|Successful
wa0817387533-lbp-1733454241-wJqVF3|wa0817387533-lbp|198.81|2024-12-06 03:04:01|Successful
wa0817387533-lbp-1731374578-tfzrm9|wa0817387533-lbp|88.97|2024-11-12 01:22:58|Successful
