id|type|name|provider|status|created_at|updated_at
BSKT87029185|Basketball|Basketball Williams's Tour|Game Provider 3|finished|2024-08-02 00:07:45|2024-11-17 03:48:45
FOTY40574473|Football|Football Calhoun's Day|Game Provider 5|scheduled|2024-09-21 22:17:55|2025-01-05 08:33:35
GRHR37223069|Greyhounds|Greyhounds Chapman's Day|Game Provider 2|finished|2024-09-23 13:57:03|2024-10-06 03:09:10
CRKT91535742|Cricket|Cricket Ayala DVM's Tour|Game Provider 5|finished|2024-11-22 12:30:20|2024-12-20 22:27:46
CRKT75812182|Cricket|Cricket Robinson's Tour|Game Provider 2|finished|2024-09-05 03:18:36|2024-10-25 04:17:15
FOTY27673004|Football|Football Phillips's Day|Game Provider 10|finished|2024-12-02 10:46:53|2024-12-23 02:04:50
BSKT67210340|Basketball|Basketball Mayer's Cup|Game Provider 4|finished|2024-08-22 18:55:17|2024-11-15 08:11:18
HRSR14199490|Horse Racing|Horse Racing Zuniga's Day|Game Provider 4|finished|2024-11-08 19:21:26|2024-11-09 15:19:14
GRHR33800343|Greyhounds|Greyhounds Hernandez's Cup|Game Provider 3|finished|2024-12-22 08:17:41|2024-12-24 21:05:19
BSKT14659808|Basketball|Basketball Richardson's Day|Game Provider 5|finished|2024-10-16 14:14:23|2024-11-22 11:17:55
GRHR68387959|Greyhounds|Greyhounds Harvey's Day|Game Provider 3|finished|2024-07-09 20:17:11|2024-12-24 02:40:06
FOTY76213879|Football|Football Schneider's Cup|Game Provider 6|cancelled|2024-08-18 10:43:17|2024-11-12 17:54:38
BSKT77480259|Basketball|Basketball Mcbride's Cup|Game Provider 8|scheduled|2024-12-23 00:39:22|2025-01-09 18:28:23
HRSR20768603|Horse Racing|Horse Racing Rodriguez's Tour|Game Provider 10|finished|2024-10-21 21:36:53|2024-12-21 20:54:38
HRSR75785685|Horse Racing|Horse Racing Carter's Cup|Game Provider 6|finished|2024-12-04 00:01:51|2024-12-24 00:15:16
CRKT78777869|Cricket|Cricket Jeremy Alexander's Tour|Game Provider 3|cancelled|2024-07-06 22:30:01|2024-09-11 18:51:08
HRSR03616463|Horse Racing|Horse Racing Johnson's Day|Game Provider 8|ongoing|2024-10-22 03:32:11|2025-01-12 01:23:49
CRKT14527913|Cricket|Cricket Roberts's Tour|Game Provider 5|finished|2024-07-02 23:34:26|2024-10-24 04:05:34
GRHR50870138|Greyhounds|Greyhounds Wilson's Tour|Game Provider 3|finished|2024-11-08 13:25:55|2024-11-29 20:30:50
BSKT81638748|Basketball|Basketball Warren's Day|Game Provider 4|finished|2024-09-20 19:28:06|2024-11-29 16:13:58
CRKT21049462|Cricket|Cricket Simmons's Tour|Game Provider 8|ongoing|2024-07-10 05:16:10|2025-01-12 15:47:03
BSKT28431879|Basketball|Basketball Mitchell's Tour|Game Provider 2|finished|2025-01-02 05:12:26|2025-01-02 06:04:14
CRKT18598724|Cricket|Cricket Mcgrath's Day|Game Provider 2|finished|2024-11-19 00:07:55|2024-11-24 01:15:39
GRHR65273030|Greyhounds|Greyhounds Bush's Day|Game Provider 3|cancelled|2024-07-17 05:02:53|2024-09-07 10:46:34
CRKT64120847|Cricket|Cricket Gonzalez's Tour|Game Provider 4|cancelled|2024-09-05 14:38:58|2024-12-09 15:21:27
FOTY44657511|Football|Football Peters's Cup|Game Provider 4|finished|2024-10-27 09:12:37|2024-11-10 16:31:41
GRHR36750672|Greyhounds|Greyhounds Esparza's Cup|Game Provider 9|finished|2024-12-12 21:23:36|2024-12-27 14:55:33
FOTY39950481|Football|Football Lawrence's Cup|Game Provider 6|finished|2024-11-08 22:00:59|2024-12-07 18:13:17
HRSR95970137|Horse Racing|Horse Racing Dominguez's Cup|Game Provider 4|finished|2024-08-30 23:40:23|2024-12-13 12:00:14
FOTY94060198|Football|Football Brown's Tour|Game Provider 3|finished|2024-11-18 16:21:53|2024-11-29 17:06:29
BSKT43913742|Basketball|Basketball Cole's Cup|Game Provider 8|finished|2024-07-21 02:08:43|2024-10-17 11:54:44
CRKT22290636|Cricket|Cricket Newman's Day|Game Provider 6|finished|2024-08-07 05:33:39|2024-11-22 00:38:48
HRSR12942399|Horse Racing|Horse Racing Miles's Day|Game Provider 10|finished|2024-07-12 16:32:04|2024-07-24 23:26:58
FOTY03278699|Football|Football Fox's Cup|Game Provider 6|finished|2024-10-05 09:25:03|2024-10-13 10:51:47
GRHR69965600|Greyhounds|Greyhounds Walker's Cup|Game Provider 2|finished|2024-10-27 00:53:43|2024-11-29 21:48:47
GRHR85633590|Greyhounds|Greyhounds Harper's Cup|Game Provider 2|finished|2024-10-03 11:34:34|2024-10-28 18:50:24
FOTY29611122|Football|Football Mills's Day|Game Provider 7|finished|2024-11-23 17:36:53|2025-01-02 01:20:02
CRKT13349954|Cricket|Cricket Kelly's Cup|Game Provider 4|finished|2024-11-22 20:51:44|2024-11-24 14:51:57
CRKT82700044|Cricket|Cricket Shirley Oneal's Tour|Game Provider 5|finished|2024-07-18 07:21:35|2024-12-18 21:55:27
CRKT56357605|Cricket|Cricket Moore's Tour|Game Provider 5|finished|2024-12-11 00:06:00|2024-12-15 08:03:42
HRSR85373290|Horse Racing|Horse Racing Davis's Cup|Game Provider 5|finished|2024-11-30 16:47:21|2024-12-06 21:46:41
HRSR06917790|Horse Racing|Horse Racing Clark's Cup|Game Provider 2|finished|2024-08-19 09:02:07|2024-09-06 20:53:16
FOTY41059167|Football|Football Johnson's Day|Game Provider 1|ongoing|2025-01-06 15:02:18|2025-01-10 12:52:12
BSKT45833341|Basketball|Basketball Jones's Cup|Game Provider 7|finished|2024-12-07 09:03:06|2024-12-19 20:11:16
FOTY19046016|Football|Football Butler's Cup|Game Provider 2|finished|2024-07-30 06:00:58|2024-08-22 10:15:27
CRKT82072281|Cricket|Cricket Villegas's Tour|Game Provider 3|finished|2024-11-26 20:09:38|2024-12-23 07:32:49
BSKT46579784|Basketball|Basketball Carter's Tour|Game Provider 6|scheduled|2024-12-11 08:52:29|2025-01-05 09:41:58
BSKT95051777|Basketball|Basketball Kennedy's Tour|Game Provider 2|finished|2024-11-08 00:39:38|2025-01-03 05:12:31
BSKT30847775|Basketball|Basketball Mcdaniel's Tour|Game Provider 8|finished|2024-09-08 22:32:01|2024-11-09 05:15:37
FOTY55777497|Football|Football Barrett's Cup|Game Provider 2|cancelled|2024-09-20 13:56:00|2024-12-31 10:02:09
FOTY57106131|Football|Football Moore's Tour|Game Provider 9|finished|2024-11-24 20:58:24|2024-12-22 03:33:42
GRHR59625726|Greyhounds|Greyhounds Carr's Cup|Game Provider 1|finished|2024-11-22 11:08:23|2024-11-23 02:50:02
FOTY70429519|Football|Football Miller's Cup|Game Provider 3|finished|2024-10-21 22:05:27|2024-11-05 20:30:51
GRHR02092354|Greyhounds|Greyhounds Erickson's Day|Game Provider 3|finished|2024-11-18 05:29:08|2025-01-01 17:48:26
HRSR11080797|Horse Racing|Horse Racing Cooper's Cup|Game Provider 5|finished|2024-12-07 17:20:06|2024-12-21 03:12:05
CRKT60784903|Cricket|Cricket Lambert's Day|Game Provider 8|finished|2024-10-10 23:36:08|2024-12-07 10:17:51
GRHR43123228|Greyhounds|Greyhounds Gonzalez's Tour|Game Provider 9|scheduled|2025-01-05 11:05:53|2025-01-07 10:33:17
GRHR94730229|Greyhounds|Greyhounds Peterson's Day|Game Provider 6|scheduled|2025-01-01 20:44:22|2025-01-04 17:59:16
