id|currency|rate|created_at
EXLBP-1735786274|LBP|0.7954|2025-01-02 02:51:14
EXLBP-1736249537|LBP|0.2922|2025-01-07 11:32:17
EXLBP-1736514216|LBP|0.0295|2025-01-10 13:03:36
EXLBP-1736563618|LBP|0.6483|2025-01-11 02:46:58
EXLBP-1736624588|LBP|0.0453|2025-01-11 19:43:08
EXISK-1736593103|ISK|1.0427|2025-01-11 10:58:23
EXISK-1736683018|ISK|0.7964|2025-01-12 11:56:58
EXISK-1736694878|ISK|1.1954|2025-01-12 15:14:38
EXISK-1736695458|ISK|0.2563|2025-01-12 15:24:18
EXISK-1736695698|ISK|0.1042|2025-01-12 15:28:18
EXISK-1736695798|ISK|0.9553|2025-01-12 15:29:58
EXMDL-1736320447|MDL|1.1365|2025-01-08 07:14:07
EXMDL-1736482337|MDL|0.1501|2025-01-10 04:12:17
EXMVR-1735821997|MVR|1.1949|2025-01-02 12:46:37
EXMVR-1736515601|MVR|0.642|2025-01-10 13:26:41
EXMVR-1736581063|MVR|0.9128|2025-01-11 07:37:43
EXMVR-1736660699|MVR|0.4005|2025-01-12 05:44:59
EXMVR-1736690473|MVR|0.8377|2025-01-12 14:01:13
EXMVR-1736691212|MVR|0.9046|2025-01-12 14:13:32
EXMVR-1736695945|MVR|1.0845|2025-01-12 15:32:25
EXXAF-1735744227|XAF|0.0039|2025-01-01 15:10:27
EXXAF-1736636845|XAF|0.0876|2025-01-11 23:07:25
EXSZL-1736309812|SZL|0.9912|2025-01-08 04:16:52
EXSZL-1736685269|SZL|0.4282|2025-01-12 12:34:29
EXSZL-1736694344|SZL|0.6897|2025-01-12 15:05:44
EXPEN-1736555768|PEN|1.0951|2025-01-11 00:36:08
EXAWG-1736194574|AWG|0.8884|2025-01-06 20:16:14
EXAWG-1736249573|AWG|0.2163|2025-01-07 11:32:53
EXAWG-1736472668|AWG|0.4151|2025-01-10 01:31:08
EXAWG-1736473285|AWG|0.3227|2025-01-10 01:41:25
EXAWG-1736522165|AWG|0.2481|2025-01-10 15:16:05
EXAWG-1736619768|AWG|0.1185|2025-01-11 18:22:48
EXSYP-1736011439|SYP|0.2434|2025-01-04 17:23:59
EXSYP-1736684249|SYP|0.2852|2025-01-12 12:17:29
EXSYP-1736689565|SYP|1.0654|2025-01-12 13:46:05
EXSYP-1736694970|SYP|0.3485|2025-01-12 15:16:10
EXSYP-1736695676|SYP|0.0821|2025-01-12 15:27:56
EXSYP-1736695714|SYP|1.077|2025-01-12 15:28:34
EXSYP-1736695918|SYP|0.3827|2025-01-12 15:31:58
EXCUC-1735879933|CUC|0.6306|2025-01-03 04:52:13
EXAOA-1736536309|AOA|0.629|2025-01-10 19:11:49
EXDZD-1736506825|DZD|0.6591|2025-01-10 11:00:25
EXDZD-1736630844|DZD|1.0889|2025-01-11 21:27:24
EXCDF-1736581659|CDF|0.587|2025-01-11 07:47:39
EXCDF-1736584961|CDF|1.0212|2025-01-11 08:42:41
EXDOP-1736354120|DOP|1.0526|2025-01-08 16:35:20
EXDOP-1736553736|DOP|0.4071|2025-01-11 00:02:16
EXDOP-1736628951|DOP|0.411|2025-01-11 20:55:51
EXDOP-1736642855|DOP|0.5471|2025-01-12 00:47:35
EXDOP-1736656614|DOP|0.0803|2025-01-12 04:36:54
EXTND-1735697211|TND|0.1489|2025-01-01 02:06:51
EXTND-1736296135|TND|0.4875|2025-01-08 00:28:55
EXTND-1736542767|TND|0.4102|2025-01-10 20:59:27
EXTND-1736579577|TND|0.3823|2025-01-11 07:12:57
EXTND-1736667798|TND|0.3262|2025-01-12 07:43:18
EXKRW-1736412794|KRW|0.9001|2025-01-09 08:53:14
EXGIP-1736356355|GIP|0.3827|2025-01-08 17:12:35
EXGIP-1736650528|GIP|0.4048|2025-01-12 02:55:28
EXGIP-1736682612|GIP|1.0206|2025-01-12 11:50:12
EXGIP-1736689238|GIP|1.0357|2025-01-12 13:40:38
EXGIP-1736692854|GIP|0.7208|2025-01-12 14:40:54
EXZWD-1735791900|ZWD|1.0069|2025-01-02 04:25:00
EXZWD-1736000687|ZWD|0.9042|2025-01-04 14:24:47
EXZWD-1736160665|ZWD|0.9085|2025-01-06 10:51:05
EXZWD-1736514848|ZWD|0.2097|2025-01-10 13:14:08
EXHTG-1736144494|HTG|0.9645|2025-01-06 06:21:34
EXHTG-1736592395|HTG|1.021|2025-01-11 10:46:35
EXHTG-1736620982|HTG|0.0203|2025-01-11 18:43:02
EXHTG-1736656871|HTG|0.1827|2025-01-12 04:41:11
EXHTG-1736682095|HTG|0.3444|2025-01-12 11:41:35
EXHTG-1736685127|HTG|0.2399|2025-01-12 12:32:07
EXFJD-1736674021|FJD|0.9381|2025-01-12 09:27:01
EXBAM-1736558050|BAM|0.1798|2025-01-11 01:14:10
EXBAM-1736659614|BAM|0.7045|2025-01-12 05:26:54
EXBAM-1736664508|BAM|0.1007|2025-01-12 06:48:28
EXBOB-1736318247|BOB|0.506|2025-01-08 06:37:27
EXBOB-1736461549|BOB|0.7807|2025-01-09 22:25:49
EXBOB-1736586684|BOB|0.6809|2025-01-11 09:11:24
EXIMP-1735922426|IMP|1.076|2025-01-03 16:40:26
EXIMP-1736470519|IMP|0.4243|2025-01-10 00:55:19
EXSDG-1736588193|SDG|0.8119|2025-01-11 09:36:33
EXAFN-1736101227|AFN|1.1446|2025-01-05 18:20:27
EXBTN-1736095648|BTN|0.638|2025-01-05 16:47:28
EXBTN-1736559196|BTN|1.1421|2025-01-11 01:33:16
EXBTN-1736633920|BTN|0.911|2025-01-11 22:18:40
EXBTN-1736645684|BTN|0.5659|2025-01-12 01:34:44
EXBTN-1736690581|BTN|0.5657|2025-01-12 14:03:01
EXBTN-1736690962|BTN|0.556|2025-01-12 14:09:22
EXBTN-1736695027|BTN|0.7389|2025-01-12 15:17:07
EXBTN-1736695055|BTN|0.385|2025-01-12 15:17:35
EXUSD-1736647195|USD|0.8822|2025-01-12 01:59:55
EXUSD-1736669763|USD|0.858|2025-01-12 08:16:03
EXUSD-1736671144|USD|0.0178|2025-01-12 08:39:04
EXUSD-1736677617|USD|1.0443|2025-01-12 10:26:57
EXUSD-1736685222|USD|0.2963|2025-01-12 12:33:42
EXUSD-1736691677|USD|1.0346|2025-01-12 14:21:17
EXUSD-1736692587|USD|0.2125|2025-01-12 14:36:27
EXUSD-1736693588|USD|0.2333|2025-01-12 14:53:08
EXTWD-1736317344|TWD|0.7195|2025-01-08 06:22:24
EXTWD-1736395816|TWD|0.5871|2025-01-09 04:10:16
EXTWD-1736461187|TWD|0.5563|2025-01-09 22:19:47
EXTWD-1736492641|TWD|0.3422|2025-01-10 07:04:01
EXVEF-1735954821|VEF|0.1756|2025-01-04 01:40:21
EXVEF-1736319942|VEF|0.6569|2025-01-08 07:05:42
EXVEF-1736339818|VEF|0.08|2025-01-08 12:36:58
EXVEF-1736402720|VEF|0.5351|2025-01-09 06:05:20
EXGMD-1735982538|GMD|0.0818|2025-01-04 09:22:18
EXGMD-1736008928|GMD|1.0764|2025-01-04 16:42:08
EXUAH-1736212620|UAH|0.1473|2025-01-07 01:17:00
EXUAH-1736680651|UAH|0.1085|2025-01-12 11:17:31
EXUAH-1736688836|UAH|0.9828|2025-01-12 13:33:56
EXUAH-1736692016|UAH|0.2366|2025-01-12 14:26:56
EXUAH-1736693738|UAH|0.9355|2025-01-12 14:55:38
EXUAH-1736695553|UAH|0.3165|2025-01-12 15:25:53
EXAED-1735715196|AED|0.8174|2025-01-01 07:06:36
EXAED-1736418367|AED|0.3382|2025-01-09 10:26:07
EXAED-1736513429|AED|0.7635|2025-01-10 12:50:29
EXRSD-1736114915|RSD|1.162|2025-01-05 22:08:35
EXRSD-1736404369|RSD|0.8697|2025-01-09 06:32:49
EXRSD-1736458323|RSD|0.9375|2025-01-09 21:32:03
EXRSD-1736535736|RSD|0.2211|2025-01-10 19:02:16
EXRSD-1736679664|RSD|0.4073|2025-01-12 11:01:04
EXRSD-1736687538|RSD|0.1951|2025-01-12 13:12:18
EXMUR-1736041162|MUR|0.869|2025-01-05 01:39:22
EXMUR-1736649861|MUR|0.9351|2025-01-12 02:44:21
EXMUR-1736693838|MUR|0.8719|2025-01-12 14:57:18
EXMUR-1736694886|MUR|0.5587|2025-01-12 15:14:46
EXBMD-1735855613|BMD|0.6639|2025-01-02 22:06:53
EXBMD-1735982441|BMD|0.5769|2025-01-04 09:20:41
EXHKD-1736510757|HKD|0.6914|2025-01-10 12:05:57
EXHKD-1736628290|HKD|0.0141|2025-01-11 20:44:50
EXHKD-1736657484|HKD|0.3865|2025-01-12 04:51:24
EXHKD-1736664769|HKD|0.721|2025-01-12 06:52:49
EXHKD-1736693965|HKD|0.0369|2025-01-12 14:59:25
EXHKD-1736695001|HKD|0.0328|2025-01-12 15:16:41
EXHKD-1736695733|HKD|0.6692|2025-01-12 15:28:53
EXHKD-1736695758|HKD|1.0546|2025-01-12 15:29:18
EXCVE-1736126552|CVE|0.0662|2025-01-06 01:22:32
EXCVE-1736574858|CVE|0.6232|2025-01-11 05:54:18
EXCVE-1736589095|CVE|0.7401|2025-01-11 09:51:35
EXCVE-1736619654|CVE|1.1411|2025-01-11 18:20:54
EXCVE-1736655480|CVE|0.7296|2025-01-12 04:18:00
EXCVE-1736672656|CVE|0.4352|2025-01-12 09:04:16
EXCVE-1736680351|CVE|0.5776|2025-01-12 11:12:31
EXCVE-1736695276|CVE|0.0567|2025-01-12 15:21:16
EXSHP-1735830232|SHP|1.1306|2025-01-02 15:03:52
EXSHP-1736024157|SHP|0.8584|2025-01-04 20:55:57
EXSHP-1736567942|SHP|0.3057|2025-01-11 03:59:02
EXSHP-1736668449|SHP|1.1267|2025-01-12 07:54:09
